FWHM_Hb(km/s) R_FeII EW_OIII(Angstrom) log(EW_OIII) EW_Hb(angstrom)
5021.0261 0.48153149 8.6136797 0.93518872 58.355732
5550.2285 0 32.690956 1.5144276 26.702354
4591.7452 0.30863826 78.345801 1.8940157 107.57384
2377.5566 0.4790015 47.523002 1.6769039 82.891721
5853.7995 0.31483534 68.054358 1.8328559 69.489444
6651.4438 0.52625137 9.7174749 0.98755343 99.739873
5057.9408 0.50787708 32.208447 1.5079698 82.259895
3131.598 0.17473879 58.852204 1.7697627 117.18986
5206.0499 0.17082152 37.393953 1.5728014 120.04578
3936.4978 0.36875751 19.48684 1.2897414 98.061558
3132.5993 0.23756935 11.284769 1.0524927 86.352913
8201.5903 0.1843096 40.823271 1.6109078 89.959741
2903.5031 1.4936758 0.92627596 -0.033259607 46.729484
3075.9992 0.55783701 7.3469332 0.86610609 82.103321
3171.4773 0.52348908 37.770556 1.5771534 49.958161
5828.6736 0.35874223 26.46409 1.422657 89.594044
2415.3467 0.65670866 8.0685703 0.90679659 59.17097






